Date,Open,High,Low,Close,Volume,Dividends
2018-01-02 00:00:00-05:00,85.26251619094215,85.5714665776644,84.61292742349194,85.5160140991211,13578800,0.0
2018-01-03 00:00:00-05:00,85.4447231127205,85.94379543402091,85.14369622677427,85.60315704345703,11901000,0.0
2018-01-04 00:00:00-05:00,86.28798540579947,87.61781907890763,86.16057313574409,86.82947540283203,12953700,0.56
2018-01-05 00:00:00-05:00,87.00467268221591,87.23560288759464,85.82613337120587,86.27206420898438,14155000,0.0
2018-01-08 00:00:00-05:00,86.12075311897327,86.54279559129132,85.76241070023751,86.39945983886719,12466500,0.0
2018-01-09 00:00:00-05:00,86.57466484563938,87.29930245287431,86.39151120954371,86.83744812011719,13292300,0.0
2018-01-10 00:00:00-05:00,87.17191000227011,88.15136625209735,87.10820385137079,87.79302978515625,15834500,0.0
2018-01-11 00:00:00-05:00,88.12748450559089,88.3345264737049,87.6337769878581,88.26285552978516,13676800,0.0
2018-01-12 00:00:00-05:00,88.90786063594079,89.86342857127254,88.26284650800673,89.7200927734375,18884200,0.0
2018-01-16 00:00:00-05:00,88.79636780073547,90.32527875329848,88.44599009584942,89.40155792236328,22703300,0.0
2018-01-17 00:00:00-05:00,89.09896112222852,90.22175906804839,88.63710071577701,89.97489929199219,14940300,0.0
2018-01-18 00:00:00-05:00,89.79177179267388,90.55622742482262,89.40157615072819,90.18992614746094,14572900,0.0
2018-01-19 00:00:00-05:00,90.7314120345592,91.04993064308648,89.82362063447975,89.9908447265625,18785500,0.0
2018-01-22 00:00:00-05:00,89.71210524174234,91.08971534055105,89.58469298444052,91.04193878173828,12475700,0.0
2018-01-23 00:00:00-05:00,90.5163961349787,91.2888164407667,90.26157762872052,90.94640350341797,12320800,0.0
2018-01-24 00:00:00-05:00,91.4640083817624,92.37179972057432,91.30474908824729,92.10901641845703,15904500,0.0
2018-01-25 00:00:00-05:00,92.40364448840177,92.50716241234636,91.6391890126096,92.13289642333984,13510000,0.0
2018-01-26 00:00:00-05:00,92.13289631673506,92.6266098022461,91.5436296939556,92.6266098022461,13883900,0.0
2018-01-29 00:00:00-05:00,92.38771585286702,93.44680768881405,92.38771585286702,92.53105163574219,11679900,0.0
2018-01-30 00:00:00-05:00,91.99751112886206,92.84956089838141,91.55954514146212,91.6630630493164,14279100,0.0
2018-01-31 00:00:00-05:00,92.09309291924656,92.89736632480891,91.7029033973877,92.10901641845703,13141400,0.0
2018-02-01 00:00:00-05:00,92.18863855566913,93.16013596289145,91.95771442148872,93.06458282470703,13800600,0.0
2018-02-02 00:00:00-05:00,92.76199287554189,93.10440583782767,90.85085090174579,91.00215148925781,16477300,0.0
2018-02-05 00:00:00-05:00,89.9828757964057,91.24900361046899,82.80017457855577,86.63838195800781,30097600,0.0
2018-02-06 00:00:00-05:00,85.08557713672164,89.56879867698851,84.89446476384353,89.27416229248047,33114800,0.0
2018-02-07 00:00:00-05:00,88.8282292458771,91.13751939021743,88.50970458189313,89.87935638427734,21878300,0.0
2018-02-08 00:00:00-05:00,90.07045798875075,90.07045798875075,85.8739086486229,85.90576171875,27425800,0.0
2018-02-09 00:00:00-05:00,86.8772539126711,88.43005909316247,84.59185246435514,87.62578582763672,28188000,0.0
2018-02-12 00:00:00-05:00,88.52562703873551,89.76787260610946,87.64968877960882,88.97952270507812,18043300,0.0
2018-02-13 00:00:00-05:00,88.64508095951635,90.02269763267506,88.23100312400013,89.52898406982422,16358200,0.0
2018-02-14 00:00:00-05:00,89.68823110096388,91.79048521744444,89.60860145987868,91.59937286376953,15186900,0.0
2018-02-15 00:00:00-05:00,92.16473781132449,92.36381492276483,90.95435164692175,91.9815902709961,12130200,0.0
2018-02-16 00:00:00-05:00,91.21715315000046,92.42753955667239,91.17733528960198,91.32067108154297,13214300,0.0
2018-02-20 00:00:00-05:00,91.29676689315693,91.8860334572289,90.75527689295929,91.34454345703125,13461500,0.0
2018-02-21 00:00:00-05:00,91.57549080074796,93.52644447897069,91.31270749949597,91.72679138183594,14212500,0.0
2018-02-22 00:00:00-05:00,91.97363280530732,92.71419996181866,91.38436620964454,91.55955505371094,17070400,0.0
2018-02-23 00:00:00-05:00,91.82235301934446,93.47867655117817,91.82235301934446,93.41497039794922,12162500,0.0
2018-02-26 00:00:00-05:00,94.07591859909182,94.6811149718067,93.42294564378366,94.57759094238281,16511200,0.0
2018-02-27 00:00:00-05:00,94.68904591537374,95.02349402469045,93.44680053378762,93.45476531982422,17563300,0.0
2018-02-28 00:00:00-05:00,93.82106052818496,94.35458572700698,91.84621291603385,91.97362518310547,17735600,0.0
2018-03-01 00:00:00-05:00,91.95772196376608,92.8814368023062,89.70416711468361,90.32528686523438,18690000,0.0
2018-03-02 00:00:00-05:00,89.49712651706656,90.4288061568876,88.4858172292472,90.2376937866211,18353700,0.0
2018-03-05 00:00:00-05:00,89.22639097864925,92.31606650297424,89.09897867231676,91.62327575683594,13933000,0.0
2018-03-06 00:00:00-05:00,92.08512848359545,92.22846427844745,91.03400134646512,91.7029037475586,10674400,0.0
2018-03-07 00:00:00-05:00,90.58010378583008,91.65511918711887,90.0704667648435,91.36048889160156,13006500,0.0
2018-03-08 00:00:00-05:00,91.66310567891722,91.7586649212366,90.15011775664037,91.36846923828125,11173700,0.0
2018-03-09 00:00:00-05:00,92.80975602991374,94.02810703561512,92.10900067735753,93.99625396728516,15366600,0.0
2018-03-12 00:00:00-04:00,93.96440653479732,94.56163793226425,93.36717513733039,93.69366455078125,12339300,0.0
2018-03-13 00:00:00-04:00,94.12367645405755,94.33868318365546,92.23642891287923,92.57087707519531,13312300,0.0
2018-03-14 00:00:00-04:00,92.81772469935316,92.84161298432583,91.256960635832,91.5356674194336,12905100,0.0
2018-03-15 00:00:00-04:00,92.26829521202401,92.37181316033507,91.44013339947514,91.76661682128906,8748000,0.0
2018-03-16 00:00:00-04:00,91.84622183161962,92.84957226847514,91.84622183161962,91.92585754394531,19888900,0.0
2018-03-19 00:00:00-04:00,91.65510561643869,91.93381237175089,90.2217539853967,91.20121002197266,13214900,0.0
2018-03-20 00:00:00-04:00,91.47197201241883,91.93382638791375,91.13751777970194,91.288818359375,9921200,0.0
2018-03-21 00:00:00-04:00,91.42421061079574,92.87349237152632,90.94642654990672,91.36846923828125,13633000,0.0
2018-03-22 00:00:00-04:00,90.14212572065347,90.46065035675143,87.22763957743456,87.55412292480469,22550400,0.0
2018-03-23 00:00:00-04:00,87.80892803025624,88.32652972557693,85.01388981115667,85.21296691894531,23081500,0.0
2018-03-26 00:00:00-04:00,86.94894325580167,88.51767226507789,86.51893585665847,87.84080505371094,20217500,0.0
2018-03-27 00:00:00-04:00,88.4459997451366,88.93971328539813,85.44391886778016,86.13670349121094,18039900,0.0
2018-03-28 00:00:00-04:00,86.2242852980853,86.93299939259305,84.9263046017586,86.0013198852539,19189300,0.0
2018-03-29 00:00:00-04:00,86.39947102078898,88.21505340290229,85.82612793688969,87.5700454711914,13274600,0.0
2018-04-02 00:00:00-04:00,87.56208557543393,88.17524654815163,84.47241065396325,85.88187408447266,18822500,0.0
2018-04-03 00:00:00-04:00,86.28797420735955,87.19576524996123,85.41203622813784,87.06039428710938,14050700,0.0
2018-04-04 00:00:00-04:00,85.28463887292719,88.55746728390089,85.22093273503849,88.38227844238281,15302600,0.0
2018-04-05 00:00:00-04:00,89.34271419635405,90.3031340534891,89.15063266739172,89.54280090332031,16627000,0.56
2018-04-06 00:00:00-04:00,88.47832595342088,89.27867261566382,86.29337687878707,87.309814453125,18906000,0.0
2018-04-09 00:00:00-04:00,88.04613404212401,90.42316449849538,87.95009024877966,88.35826873779297,15974300,0.0
2018-04-10 00:00:00-04:00,89.74288426729319,90.33514529428754,89.17463877341602,90.0470199584961,13951400,0.0
2018-04-11 00:00:00-04:00,89.36671647382184,89.48676359526458,88.4543156077313,88.53435516357422,14503300,0.0
2018-04-12 00:00:00-04:00,89.28667413553903,91.5516567173076,89.23865528845833,90.73530578613281,16435500,0.0
2018-04-13 00:00:00-04:00,92.05589124935211,92.15994024694695,87.27782572300468,88.27825927734375,39152800,0.0
2018-04-16 00:00:00-04:00,88.79046304118609,89.21464580654963,87.8700631337245,88.20620727539062,16580500,0.0
2018-04-17 00:00:00-04:00,89.13461235941396,89.57479937174038,88.03013002799581,88.20620727539062,15501400,0.0
2018-04-18 00:00:00-04:00,88.46232292249746,88.89451088861885,87.1497547762744,87.49390411376953,16081400,0.0
2018-04-19 00:00:00-04:00,87.66197266786801,89.53478711239467,87.63796324396498,89.41473388671875,17911000,0.0
2018-04-20 00:00:00-04:00,89.87893459553999,90.23108298250798,88.74243766939608,89.21464538574219,15584400,0.0
2018-04-23 00:00:00-04:00,89.29467681943326,89.59880635272216,88.54234900331387,88.78245544433594,11285800,0.0
2018-04-24 00:00:00-04:00,89.43873349705562,90.35913331803361,87.7099818917933,88.36627197265625,16453100,0.0
2018-04-25 00:00:00-04:00,88.25420927187179,88.46230107962155,86.91763203080401,88.03011322021484,13548200,0.0
2018-04-26 00:00:00-04:00,88.01413643803096,88.69442998029682,87.5099140583185,88.11817932128906,10299500,0.0
2018-04-27 00:00:00-04:00,87.67798321862196,88.16619519295195,87.34183296474049,87.55792999267578,9384000,0.0
2018-04-30 00:00:00-04:00,87.83805915579255,88.27825232751164,87.03771237532975,87.06172180175781,13744900,0.0
2018-05-01 00:00:00-04:00,86.79760589872636,87.21378964401738,86.06929350370912,87.06172180175781,10503400,0.0
2018-05-02 00:00:00-04:00,86.52547326777128,87.62994940121033,86.22134375147476,86.37340545654297,12162100,0.0
2018-05-03 00:00:00-04:00,86.10930563273934,86.25336829488211,84.18047310166463,85.82918548583984,15379100,0.0
2018-05-04 00:00:00-04:00,85.18089242675211,87.02969119571222,84.82073888422956,86.78158569335938,11967900,0.0
2018-05-07 00:00:00-04:00,87.04570072847885,87.78201815870888,86.72556085693877,87.5339126586914,9356700,0.0
2018-05-08 00:00:00-04:00,87.66199956866797,89.11062557952415,87.46191283319446,88.83050537109375,12543200,0.0
2018-05-09 00:00:00-04:00,89.19063480957001,90.9513950401345,88.86248974409399,90.76731872558594,11368100,0.0
2018-05-10 00:00:00-04:00,90.59123856539867,91.59167187014542,90.23908408815652,91.47161865234375,9159700,0.0
2018-05-11 00:00:00-04:00,91.63170346865425,91.82379109718777,90.97541933656854,91.12748718261719,10253000,0.0
2018-05-14 00:00:00-04:00,91.32755692742374,91.79975852103928,91.03142646803342,91.15948486328125,8710700,0.0
2018-05-15 00:00:00-04:00,91.16749718815535,91.16749718815535,90.09502941542168,90.46318817138672,11536200,0.0
2018-05-16 00:00:00-04:00,90.35115009209231,90.99142997688546,90.1430582136103,90.7113037109375,7571100,0.0
2018-05-17 00:00:00-04:00,90.59924703205229,90.76732521810331,89.7989003052456,90.40716552734375,8617200,0.0
2018-05-18 00:00:00-04:00,90.2390839000686,90.27910367463917,88.71041888264486,88.94252014160156,11806300,0.0
2018-05-21 00:00:00-04:00,89.67884716915128,90.07101532927084,89.57479819369877,89.75888061523438,9441900,0.0
2018-05-22 00:00:00-04:00,89.91894236722435,91.47161677835274,89.87092352355157,90.44717407226562,11507600,0.0
2018-05-23 00:00:00-04:00,90.04702384487199,90.25510962490996,88.93454223605933,90.03101348876953,11453900,0.0
2018-05-24 00:00:00-04:00,89.75088008408416,89.75888526095495,88.13418240735096,89.02256774902344,14084800,0.0
2018-05-25 00:00:00-04:00,88.40631794732154,88.90253522413528,88.19822604334647,88.56639099121094,8283500,0.0
2018-05-29 00:00:00-04:00,87.3818659938397,87.39787024351796,84.00440143869591,84.7807388305664,30643800,0.0
2018-05-30 00:00:00-04:00,86.1493295746103,86.91766177442925,85.35698794763475,86.71757507324219,17490800,0.0
2018-05-31 00:00:00-04:00,86.39742521250396,86.58951282003001,85.17289571878935,85.64510345458984,19808200,0.0
2018-06-01 00:00:00-04:00,86.70954341356753,87.18975623468425,86.27736164441795,86.757568359375,13594200,0.0
2018-06-04 00:00:00-04:00,87.22977242149858,87.44586941848209,86.65352190442235,86.7975845336914,9415400,0.0
2018-06-05 00:00:00-04:00,86.62951945802529,86.68554347913127,85.693115345471,86.30937957763672,10415200,0.0
2018-06-06 00:00:00-04:00,86.96567646283452,88.6303929793979,86.82161381074954,88.32626342773438,15453600,0.0
2018-06-07 00:00:00-04:00,88.98255823831619,89.23866897228615,88.06215818911859,88.67842864990234,13444400,0.0
2018-06-08 00:00:00-04:00,88.53434553676267,88.95052309355287,88.08614727618844,88.926513671875,10383200,0.0
2018-06-11 00:00:00-04:00,88.93452436325033,89.56679896667333,88.65439814320888,88.70242309570312,12642900,0.0
2018-06-12 00:00:00-04:00,88.95055077904308,89.26268557032643,87.65398664944622,88.19022369384766,15294100,0.0
2018-06-13 00:00:00-04:00,88.40629782113767,89.19863936298187,87.70199490684959,88.01412963867188,14979700,0.0
2018-06-14 00:00:00-04:00,88.26222865373836,88.32625785199214,86.26136200451084,86.4614486694336,20487300,0.0
2018-06-15 00:00:00-04:00,86.27737317071924,86.74156959703531,85.0528376406703,86.35740661621094,26028600,0.0
2018-06-18 00:00:00-04:00,85.84520246442742,86.75759735967827,85.38900501680197,86.5815200805664,9786800,0.0
2018-06-19 00:00:00-04:00,85.55708196597479,86.34141848225694,85.31697546155091,86.07730865478516,12707200,0.0
2018-06-20 00:00:00-04:00,86.58151159224353,86.94967036421929,85.98925670742696,86.06929016113281,8876900,0.0
2018-06-21 00:00:00-04:00,85.71714295970277,86.60552841589727,85.26094551783221,86.0452880859375,11048700,0.0
